"OBJECTID","Join_Count","TARGET_FID","ISO","NAME_0","NAME_1","HASC_1","TYPE_1","ENGTYPE_1","Region","Area","year_sur","level_sur","poor_ppp55","sh_b40","sh_t60","Violence","Dis_risk","Pop","Pop_dens","VIIRS","VIIRS_dens","CountryCode","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y13","y15","y16","y17","y18","y20","y21","y22","y23","y24","y25","y26","y27","y30","y31","y32","y33","y34","y35","y36","y40","y41","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y59","y60","y61","y69","y70","y71","y72","y73","y74","y75","y82","y83","y84","y85","y86","y87","y88","y89","y92","y102","y104","y106","y108","y109","y110","y111","y112","y113","y114","y115","y116","y117","y118","y119","y120","y121","y122","y123","y124","y125","y126","y127","y128","y129","y130","y131","y132","y133","y138","y149","y155","y158","y161","y162","y163","y164","y165","y166","y167","y183","y184","y185","y186","y187","y192","y194","y195","y196","y197","y198","y199","y200","y201","y202","y203","y207","y208","y209","y210","y211","y229","y230","y231","risk_perc","risk_area","bio_perc","bio_area"
619,0,141,"CHL","Chile","Los Lagos","CL.LG","Regi—n","Region","LAC",88558.7134516196,2015,"subnatid1",0.1379456,0.060667,0.041798,NA,0.994743758212878,834149.699505477,9.41917138352716,28583.179149989,0.0342662464146837,"",NA,0.2,0.04,NA,112.29,9.2,0,49006.2,100,2.65,0.57,0.29,NA,NA,NA,NA,0.67,NA,0.14,NA,0.25,NA,18.85,NA,NA,NA,1.41,NA,34085.72,0.7,0.67,0.02,5439.23,0.09,NA,NA,NA,NA,NA,0.04,NA,0.5,0,0.64,NA,NA,2.48,845.42,NA,653.22,0,0,0.36,NA,NA,9.16,NA,3.33,0.32,27.29,8,0.13,0.28,0.67,NA,NA,726.36,35764.84,1745.91,6035.88,3,0.03,NA,2.74,0.01,0.12,NA,0.01,27.35,5.47,2.41,22.57,4.23,NA,NA,0,936942.5,526469,16.94,10.74,NA,NA,NA,NA,NA,NA,0,0,0.01,15.8,NA,NA,NA,16561.59,33.79,6438.28,NA,1.37,0.72,0.74,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.02,4.31,0.01,49006.2,8,0.8,0,0.01,0.13,0.05,0,0.0142857142857143,1265.12447788,0,0
620,0,143,"CHL","Chile","Magallanes y Ant‡rtica Chilena","CL.MA_1","Regi—n","Region","LAC",177826.472398293,2015,"subnatid1",0.0327831,0.0040691,0.0114299,NA,0.0620967741935484,20792.2754753927,0.116924523075633,3345.67880158499,0.160909699640356,"",NA,0,0.009833131,NA,46.13360214,5.306989193,0.000711832,0,0,0.084582195,0.028064571,0.00559487,NA,NA,NA,NA,0.318971874,NA,0.053535573,NA,0.207827688,NA,19.55443001,NA,NA,NA,0,NA,7936.508301,0.127796069,0.442403972,0.155327544,75.74839218,3.193650246,NA,NA,NA,NA,NA,0.009600879,NA,0.581094405,0,0.875806451,NA,NA,0.656508923,52.10388565,NA,766.2486715,4.89e-05,1.65e-05,0.124193549,NA,NA,9.368420601,NA,0.856963637,0.53513503,6.510123253,1.390182902,0.018679413,0.008324617,0.393754664,NA,55594,0.263613194,15.26975346,0.263613194,0.283508897,NA,0.018181096,NA,2.394760344,0.001424257,0.149138007,0.166666672,0.001424257,2.192262411,0.982208048,2.216864586,0.989,0.387,NA,NA,4.64e-06,81344.96094,4543,1.344884276,0.073152766,NA,NA,NA,NA,NA,NA,3.17e-06,3.17e-06,3.41e-06,5.800000191,NA,NA,NA,35858.25,57.74004364,12004.51953,NA,2.289167998,1.028271929,0.553395224,NA,NA,NA,NA,NA,NA,NA,NA,0.1289334,0.073140495,3.440038923,0.027140522,62102.9140625,0.813573181,1.238618751,2.27e-05,0,0.144601578,0.117617719,0.001166386,NA,NA,0,0
621,0,144,"CHL","Chile","Magallanes y Ant‡rtica Chilena","CL.MA_2","Regi—n","Region","LAC",180591.591385578,2015,"subnatid1",0.0327831,0.0040691,0.0114299,NA,0.377488514548239,152098.675286144,0.842224569367688,10931.464001473,0.0718708692295157,"",NA,0,0.016770968,NA,54.86474609,5.857264996,0.001680164,0,0,0.082828045,0.056048275,0.046751298,NA,NA,NA,NA,0.29881724,NA,0.053912234,NA,0.230634987,NA,25.26598167,NA,NA,NA,0,NA,11111.58398,0.156848133,0.330501527,0.122737303,991.1835124,2.2549932,NA,NA,NA,NA,NA,0.012372952,NA,0.536374944,0,0.994469047,NA,NA,0,64.38543701,NA,1128.908331,7.43e-05,4.25e-05,0.005530973,NA,NA,9.368420601,NA,1.027366289,0.517960055,10.50604057,1.945972235,0.022424968,0.01432609,0.412228771,NA,51967,3.616819859,289.7830505,6.389038563,18.54077339,1,0.027917803,NA,2.423083528,0.003842257,0.150083013,0.166666672,0.003842257,2.742007971,0.851172122,2.323429108,1.032,0.48,NA,NA,1.02e-05,66288.90625,80065,0.954651475,1.130176067,NA,NA,NA,NA,NA,NA,5.36e-05,9.47e-05,0.000274768,5.800000191,NA,NA,NA,32700.63281,46.15933609,12004.51953,NA,2.186648867,0.984581704,0.527034743,NA,NA,NA,NA,NA,NA,NA,NA,0.122247361,0.137664497,12.25726849,0.122982264,70842.9453125,1.989417989,1.1133218,0.000595533,0.003889936,0.115793794,0.105601147,0.002078031,0.00150943396226415,272.591081337358,0,0
622,0,147,"CHL","Chile","Tarapac‡","CL.TP","Regi—n","Region","LAC",49408.2174552466,2015,"subnatid1",0.0672989,0.0159988,0.0211744,NA,0.0441176470588235,309376.3555249,6.26163766796746,16457.5626111999,0.0531959288979192,"",NA,0.23,0.04,NA,3.02,12.37,0.56,12473,28.48,0.52,0.09,0.1,NA,NA,NA,NA,0.36,NA,0,NA,0.17,NA,62.85,NA,NA,NA,2.77,NA,0.02,0,0,0.01,4547.17,3.66,NA,NA,NA,NA,NA,0.05,NA,0.7,0,1,NA,NA,0,0.03,NA,308.93,0,0,0,NA,NA,5.26,NA,0.56,0.41,18.5,7.93,0.15,0.59,0.1,NA,NA,8.2,367.87,18.05,67.79,1,0,NA,2.87,0,0.21,NA,0,4.34,0.78,12.06,3.82,0.69,NA,NA,0,412453.66,221831,7.01,5.06,NA,NA,NA,NA,NA,NA,0,0,0,14.1,NA,NA,NA,4291.61,9.8,17194.36,NA,1.72,0.37,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,0.15,0.35,43802.66,5.99,0.67,0,0.01,0.09,0,0,NA,NA,0,0
635,0,417,"NIC","Nicaragua","Lago Nicaragua","lake","Water body","Water body","LAC",8002.10017683501,2014,"subnatid1",0.3020357,0.1996628,0.2597494,NA,0.554347826086957,1777.38558202982,0.222114887685999,168.175716370344,0.09461971452378,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021978021978022,175.870333556923,0.0199340762831581,159.514475350601
636,0,430,"PAN","Panama","DariŽn","PA.DA","Provincia","Province","LAC",12276.678836809,2015,"subnatid1",0.3120601,0.0221859,0.0076137,NA,1.08333333333333,54946.3346482255,4.475667676789,580.521431267262,0.010565243978217,"",NA,0.06,0.03,NA,107.24,26.68,0,12107.44,100,0.17,0.08,0.02,NA,NA,NA,NA,0.85,NA,0.19,158.66,0.3,NA,22.09,NA,NA,NA,5.13,NA,11395.11,0.94,0.77,0,120.86,NA,NA,NA,NA,NA,NA,0.04,NA,0.82,0,0.6,NA,NA,6.44,734.05,NA,725.16,0,0,0.4,NA,NA,33.65,NA,2.46,0.2,5.01,2.91,0.03,0.42,0.62,NA,NA,723.33,49090.64,5048.58,17293.64,NA,0.01,NA,3.55,0.01,0.11,NA,0.01,1.87,0.86,4.9,0.83,0.54,NA,NA,0.02,59510.18,40706,4.22,3.36,NA,NA,NA,NA,NA,NA,0.01,0.09,0.31,51.1,NA,NA,NA,5904.8,48.77,2736.97,NA,3.26,0.75,0.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,70.15,0,12107.44,2.01,1.54,0,0,0.1,0.01,0.03,NA,NA,0.969229217110573,11898.9158177096
641,0,642,"VEN","Venezuela","Amazonas"," ","Estado","State"," ",183796.784916451,NA," ",NA,NA,NA,NA,0.0572625698324022,167877.442741229,0.913386177116977,3016.55968218669,0.0179688207833646,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00233426704014939,429.030777114846,1,183796.784916
642,1,643,"VEN","Venezuela","Anzo‡tegui"," ","Estado","State"," ",48886.2963631888,NA," ",NA,NA,NA,1,0.561278863232682,1095878.88115502,22.4168931312254,253119.995519798,0.23097442598129,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0245614035087719,1200.71605102597,0.997909976041189,48784.1228325434
643,1,644,"VEN","Venezuela","Apure"," ","Estado","State"," ",74617.0478833063,NA," ",NA,NA,NA,1,0.198614318706697,558458.863715887,7.4843334004484,6281.2420284003,0.0112474569507341,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00925925925925926,690.898591512037,0.999983375172483,74615.8073877491
644,2,645,"VEN","Venezuela","Aragua"," ","Estado","State"," ",7147.50714344282,NA," ",NA,NA,NA,1,0.675,1994973.99731635,279.114655960372,43975.3403814696,0.0220430644412536,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240963855421687,172.229087793735,0.998773221170698,7138.73873299414
