,,32002,City of Buenos Aires ,"replace province = ""City of Buenos Aires "" if geolev1 ==32002"
Province:,Argentina],32006,Buenos Aires province,"replace province = ""Buenos Aires province"" if geolev1 ==32006"
Province:,Argentina],32010,Catamarca,"replace province = ""Catamarca"" if geolev1 ==32010"
Province:,Argentina],32014,Córdoba,"replace province = ""Córdoba"" if geolev1 ==32014"
Province:,Argentina],32018,Corrientes,"replace province = ""Corrientes"" if geolev1 ==32018"
Province:,Argentina],32022,Chaco,"replace province = ""Chaco"" if geolev1 ==32022"
Province:,Argentina],32026,Chubut,"replace province = ""Chubut"" if geolev1 ==32026"
Province:,Argentina],32030,Entre Ríos,"replace province = ""Entre Ríos"" if geolev1 ==32030"
Province:,Argentina],32034,Formosa,"replace province = ""Formosa"" if geolev1 ==32034"
Province:,Argentina],32038,Jujuy,"replace province = ""Jujuy"" if geolev1 ==32038"
Province:,Argentina],32042,La Pampa,"replace province = ""La Pampa"" if geolev1 ==32042"
Province:,Argentina],32046,La Rioja,"replace province = ""La Rioja"" if geolev1 ==32046"
Province:,Argentina],32050,Mendoza,"replace province = ""Mendoza"" if geolev1 ==32050"
Province:,Argentina],32054,Misiones,"replace province = ""Misiones"" if geolev1 ==32054"
Province:,Argentina],32058,Neuquén,"replace province = ""Neuquén"" if geolev1 ==32058"
Province:,Argentina],32062,Río Negro,"replace province = ""Río Negro"" if geolev1 ==32062"
Province:,Argentina],32066,Salta,"replace province = ""Salta"" if geolev1 ==32066"
Province:,Argentina],32070,San Juan,"replace province = ""San Juan"" if geolev1 ==32070"
Province:,Argentina],32074,San Luis,"replace province = ""San Luis"" if geolev1 ==32074"
Province:,Argentina],32078,Santa Cruz,"replace province = ""Santa Cruz"" if geolev1 ==32078"
Province:,Argentina],32082,Santa Fe,"replace province = ""Santa Fe"" if geolev1 ==32082"
Province:,Argentina],32086,Santiago del Estero,"replace province = ""Santiago del Estero"" if geolev1 ==32086"
Province:,Argentina],32090,Tucumán,"replace province = ""Tucumán"" if geolev1 ==32090"
Province:,Argentina],32094,Tierra del Fuego,"replace province = ""Tierra del Fuego"" if geolev1 ==32094"
Province:,Argentina],32099,Unknown,"replace province = ""Unknown"" if geolev1 ==32099"
