"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,0.691402017,,,
"ALB","Albania",-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,-0.015558075,,,
"DZA","Algeria",0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,0.400405446,,,
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,1.193565861,,,
"ATG","Antigua and Barbuda",0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,0.233860275,,,
"ARG","Argentina",0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,0.238617313,,,
"ARM","Armenia",-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,-0.01528465,,,
"AUS","Australia",0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,0.336528722,,,
"AUT","Austria",0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,0.061892183,,,
"AZE","Azerbaijan",0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,0.177565244,,,
"BHS","Bahamas",0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,0.267817717,,,
"BHR","Bahrain",0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,0.343408501,,,
"BGD","Bangladesh",0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,0.259414275,,,
"BRB","Barbados",0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,0.029452795,,,
"BLR","Belarus",-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,-0.078033017,,,
"BEL","Belgium",0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,0.10859266,,,
"BLZ","Belize",0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,0.566705741,,,
"BEN","Benin",0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,0.842776611,,,
"BTN","Bhutan",0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,0.254849038,,,
