"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.682,0.682,0.8318,0.79022,0.74864,0.70706,0.66548,0.6239,0.6239,0.6239,0.6239,0.6239
"ALB","Albania",5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.108,5.04,5.23965,5.4393,5.63895,5.8386,5.49226666666667,5.14593333333333,4.7996,4.7996,4.7996
"DZA","Algeria",3.2854,3.2854,3.2854,3.2854,3.2854,3.2854,3.2854,3.2854,3.25092,3.21644,3.18196,3.14748,3.113,3.12666666666667,3.14033333333333,3.154,3.30666666666667,3.45933333333333,3.612,3.76466666666667,3.91733333333333,4.07,4.07,4.07
"AND","Andorra",7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.896,7.3235,6.751,8.765,8.48122,8.19744,7.91366,7.62988,7.3461,7.3461,7.3461,7.3461
"AGO","Angola",0.9615,0.9615,0.9615,0.972942857142857,0.984385714285714,0.995828571428572,1.00727142857143,1.01871428571429,1.03015714285714,1.0416,1.12196,1.20232,1.28268,1.36304,1.4434,1.4434,1.4434,1.4434,1.4434,1.4434,1.4434,1.4434,1.4434,1.4434
"ATG","Antigua and Barbuda",2.9951,2.9951,2.9951,2.9951,2.9951,3.196475,3.39785,3.599225,3.8006,4.001975,4.20335,4.404725,4.6061,4.73372,4.86134,4.98896,5.11658,5.2442,5.37182,5.49944,5.62706,5.75468,5.8823,5.8823
"ARG","Argentina",3.8023,3.8023,3.8023,3.8023,3.75956666666667,3.71683333333333,3.6741,3.66563333333333,3.65716666666667,3.6487,4.14534444444444,4.64198888888889,5.13863333333333,5.63527777777778,6.13192222222222,6.62856666666667,7.12521111111111,7.62185555555555,8.1185,7.723875,7.32925,6.934625,6.54,6.54
"ARM","Armenia",8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.567,8.127,7.687,8.5368,8.6264,8.6425,8.5585,8.5084,8.5084,8.5084,8.5084,8.5084
"AUS","Australia",12.8796,12.8796,12.75028,12.62096,12.49164,12.36232,12.233,12.4811,12.7292,12.9773,13.2254,13.4735,13.0319,12.5903,12.1487,13.766,13.6738,13.4773,15.7629,15.8367,15.988,16.2486,16.2486,16.2486
"AUT","Austria",12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,11.9113333333333,11.0606666666667,10.21,10.436,11.1509333333333,11.8658666666667,12.5808,12.6739,12.9058,13.0291,13.2433,13.2459,13.3219,13.3219,13.3219
"AZE","Azerbaijan",12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.214,12.17,12.126,11.7135,11.0344,10.8834,10.6725,10.4087,10.4087,10.4087,10.4087,10.4087
"BHS","Bahamas",5.636,5.636,5.636,5.636,5.74289,5.84978,5.95667,6.06356,6.17045,6.27734,6.38423,6.49112,6.59801,6.7049,6.5503,6.3957,6.2411,6.0469,5.8527,5.6585,5.4643,5.2701,5.0759,5.0759
"BHR","Bahrain",4.0009,4.0009,4.0009,4.0009,4.0009,4.0009,4.1685,3.9491,3.8731,3.8017,3.7303,3.7323,3.64215,3.552,3.4928,3.4088,3.4421,3.4364,3.4567,3.4488,3.4201,3.4201,3.4201,3.4201
"BGD","Bangladesh",0.5301,0.5301,0.5301,0.5301,0.5301,0.5301,0.5301,0.5301,0.5301,0.55215,0.5742,0.5824,0.4769,0.4891,0.51,0.5301,0.5598,0.5884,0.6026,0.7218,0.7374,0.7381,0.8335,0.8335
"BRB","Barbados",6.483,6.08975,5.6965,5.30325,4.91,7.2165,7.3882,7.1835,6.9788,6.7741,6.5694,6.58892,6.60844,6.62796,6.64748,6.667,6.93112857142857,7.19525714285714,7.45938571428571,7.72351428571429,7.98764285714286,8.25177142857143,8.5159,8.5159
"BLR","Belarus",17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.429,15.1158,12.8026,14.5884,14.8573,15.2526,15.2381,15.5155,15.5155,15.5155,15.5155,15.5155
"BEL","Belgium",13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.4936,13.1792,13.5674,13.8698,13.9878,13.8331,14.4245,14.4245,14.4245
"BLZ","Belize",2.2402,2.2402,2.2402,2.2402,2.2402,2.2402,2.27836666666667,2.31653333333333,2.3547,2.39286666666667,2.43103333333333,2.4692,2.50736666666667,2.54553333333333,2.5837,2.787,2.5221,2.2572,2.36994,2.48268,2.59542,2.70816,2.8209,2.8209
"BEN","Benin",0.7871,0.7871,0.7871,0.7871,0.7871,0.7871,0.7871,0.7871,0.7871,0.7871,0.810825,0.83455,0.858275,0.882,0.856,0.83,0.8374,0.8448,0.7823,0.778766666666667,0.775233333333333,0.7717,0.7717,0.7717
"BTN","Bhutan",0.9886,0.9886,0.9886,0.9886,0.9886,0.9886,0.9886,0.9886,0.9886,0.9886,0.993366666666667,0.998133333333333,1.0029,1.194,0.729,0.264,0.7495,1.235,1.3098,1.5467,1.6777,1.7899,1.8809,1.8809
"BOL","Bolivia, Plurinational State of",3.345,3.345,3.345,3.345,3.345,3.345,3.345,2.94611666666667,2.54723333333333,2.14835,1.74946666666667,1.35058333333333,0.9517,1.0637,1.1757,1.2877,1.4794,1.65288,1.82636,1.99984,2.17332,2.3468,2.3468,2.3468
"BIH","Bosnia and Herzegovina",6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.254,6.4,6.546,6.692,7.5831,7.7649,8.0939,8.1174,8.1174,8.1174,8.1174,8.1174,8.1174
"BWA","Botswana",2.8085,2.8085,2.8085,2.8085,3.2349,2.7877,2.5665,2.6303,2.7578,2.9892,2.6587,2.9705,3.3818,3.2532,3.2875,3.293,3.2346,3.1757,3.299075,3.42245,3.545825,3.6692,3.6692,3.6692
"BRA","Brazil",2.7964,3.0943,3.3398,3.5422,3.9052,4.8906,4.3656,4.7788,5.1157,5.2945,5.4246,5.4534,8.2337,8.2167,8.68515,9.1536,9.22956666666667,9.30553333333333,9.3815,9.062475,8.74345,8.424425,8.1054,11.8582
