"ISO3","Name","Value","sign"
"AFG","Afghanistan",-0.00658990315850779,-1
"ALB","Albania",0.00161886281252273,0
"DZA","Algeria",0.00519989622512461,0
"AND","Andorra",0.00474075057191137,1
"AGO","Angola",4.26967031826748e-05,0
"ATG","Antigua and Barbuda",-0.00953132351547056,-1
"ARG","Argentina",0.00564376288358959,0
"ARM","Armenia",0.0031677427450636,1
"AUS","Australia",-0.00298291454005137,0
"AUT","Austria",-0.0014901421552306,0
"AZE","Azerbaijan",0.00110712133485132,0
"BHS","Bahamas",-0.00557160324009785,-1
"BHR","Bahrain",-0.00171248538806025,0
"BGD","Bangladesh",0.00328881673474581,1
"BRB","Barbados",-0.00591418058100605,-1
"BLR","Belarus",0.00452658017393304,0
"BEL","Belgium",-0.00254851306003653,-1
"BLZ","Belize",-0.00397365377958678,-1
"BEN","Benin",0.005241481097182,0
"BTN","Bhutan",0.00749156405883424,1
"BOL","Bolivia, Plurinational State of",-0.00330462455701115,0
"BIH","Bosnia and Herzegovina",-0.00133429881845485,0
"BWA","Botswana",-0.00137474192552143,0
"BRA","Brazil",-0.00410147705704911,-1
"BRN","Brunei Darussalam",0.00435437684848628,0
"BGR","Bulgaria",-0.000800668579111709,0
"BFA","Burkina Faso",-0.00144145404216428,0
"BDI","Burundi",-0.00251785740732144,0
"KHM","Cambodia",-0.00242544578703518,0
"CMR","Cameroon",-0.00597587779295895,-1
"CAN","Canada",-0.00488010598065349,-1
"CPV","Cape Verde",-0.00124675403509769,0
"CAF","Central African Republic",-0.00462661589436777,0
"TCD","Chad",-0.00434183185787809,0
"CHL","Chile",-0.00331236943091971,-1
"CHN","China",0.00857005900124772,1
"COL","Colombia",-0.000315364510133273,0
"COM","Comoros",-0.00357048323344969,-1
"COG","Congo",-0.00415051233723957,-1
"COD","Congo, the Democratic Republic o",0.00123855190435501,0
"CRI","Costa Rica",0.00240811007569334,1
"CIV","Cote d'Ivoire",0.0082906828229764,1
"HRV","Croatia",-0.00075511085707936,0
"CUB","Cuba",0.00611225402124854,1
"CYP","Cyprus",-0.00146557058278848,0
"CZE","Czech Republic",0.000268613302867394,0
"DNK","Denmark",-0.00301165718452753,-1
"DJI","Djibouti",0.00467386399125095,0
"DMA","Dominica",-0.00564852722705191,-1
"DOM","Dominican Republic",-0.000565586366545366,0
"ECU","Ecuador",0.00206298533819038,0
"EGY","Egypt",-0.00023197147536622,0
"SLV","El Salvador",-0.00586669254878668,-1
"GNQ","Equatorial Guinea",-0.00626272916348584,-1
"ERI","Eritrea",-0.00501953547156281,-1
"EST","Estonia",5.2084473975142e-05,0
"ETH","Ethiopia",-0.00229633618005701,0
"FJI","Fiji",0.00405292417249765,1
"FIN","Finland",-0.00628778316828801,-1
"FRA","France",-0.000957676789070884,0
"GAB","Gabon",-0.00564112180763649,-1
"GMB","Gambia",-0.00141311126231851,0
"GEO","Georgia",0.00687141683689407,1
"DEU","Germany",-0.00298209700427574,-1
"GHA","Ghana",-0.0038092761717466,0
"GRC","Greece",0.000399626648392971,0
"GRD","Grenada",0.00508149885721285,0
"GTM","Guatemala",0.00105784672323924,0
"GIN","Guinea",0.00389494585300613,0
"GNB","Guinea-Bissau",-0.000306130366295757,0
"GUY","Guyana",0.00203508913743044,0
"HTI","Haiti",-0.00406023493078238,0
"HND","Honduras",-0.00208184644062555,0
"HUN","Hungary",-0.00853417818909886,-1
"ISL","Iceland",-0.00146196595026799,0
"IND","India",0.0128887759607236,1
"IDN","Indonesia",0.00960357384785782,1
"IRN","Iran, Islamic Republic of",0.00286248535019833,0
"IRQ","Iraq",-0.00108158548054423,0
"IRL","Ireland",0.000366077530005586,0
"ISR","Israel",3.84333893518206e-05,0
"ITA","Italy",0.00164520155672642,0
"JAM","Jamaica",0.00372569163726156,0
"JPN","Japan",-0.000947876640940346,0
"JOR","Jordan",-0.00244645770169705,-1
"KAZ","Kazakhstan",0.00301483797275489,0
"KEN","Kenya",0.00279684138581062,0
"KIR","Kiribati",-0.00242119635877722,0
"PRK","Korea, Democratic People's Repub",-0.0015879236618285,0
"KOR","Korea, Republic of",0.00102165815554346,0
"KWT","Kuwait",-0.00212427113465474,0
"KGZ","Kyrgyzstan",0.000769897490649956,0
"LAO","Lao People's Democratic Republic",-0.0013037079061631,0
"LVA","Latvia",0.000145104604548077,0
"LBN","Lebanon",-0.00831271963272673,-1
"LSO","Lesotho",-0.00473950664398793,-1
"LBR","Liberia",-0.00493449351808428,-1
"LBY","Libyan Arab Jamahiriya",-0.00841191286075256,-1
"LIE","Liechtenstein",-0.000140095851313443,0
"LTU","Lithuania",-0.000515197914546808,0
"LUX","Luxembourg",-0.000589501002130876,0
"MKD","Macedonia",-0.00118510315585287,0
"MDG","Madagascar",-0.00243151128306161,0
"MWI","Malawi",-0.00501942276219451,0
"MYS","Malaysia",-0.00201393826354123,0
"MDV","Maldives",-0.000721563144495671,0
"MLI","Mali",-0.00264827055921518,-1
"MLT","Malta",-0.00393685789595139,0
"MHL","Marshall Islands",-0.00210404878191668,0
"MRT","Mauritania",0.00543250380631468,1
"MUS","Mauritius",0.0035133516177437,0
"MEX","Mexico",0.000299117097369532,0
"FSM","Micronesia, Federated States of",0.000375658384184543,0
"MDA","Moldova, Republic of",-0.00132773927679351,0
"MCO","Monaco",0.00807369049843556,0
"MNG","Mongolia",0.00187418377980089,0
"MNE","Montenegro",0.000866694946760133,0
"MAR","Morocco",0.00654863564345102,1
"MOZ","Mozambique",-0.00490877848132338,-1
"MMR","Myanmar",0.0136562687326496,1
"NAM","Namibia",-0.00170664093640093,0
"NRU","Nauru",0.00072065316803791,0
"NPL","Nepal",-0.0017505518460918,-1
"NLD","Netherlands",-0.00122041321114967,0
"NZL","New Zealand",0.00051878697278938,0
"NIC","Nicaragua",-0.00493617891529956,0
"NER","Niger",0.00325164079198748,0
"NGA","Nigeria",0.00255238181247722,1
"NOR","Norway",-0.000844911336221135,0
"OMN","Oman",0.00131163332332729,0
"PAK","Pakistan",0.000561467193010186,0
"PLW","Palau",-0.0016403634238584,0
"PAN","Panama",0.00186569818803848,1
"PNG","Papua New Guinea",-0.00322247737203682,-1
"PRY","Paraguay",0.0027381380008969,1
"PER","Peru",0.00186089898515216,0
"PHL","Philippines",-0.00249774972076449,0
"POL","Poland",0.000840308251158958,0
"PRT","Portugal",0.00151515321004657,0
"QAT","Qatar",-0.00107293825059852,0
"ROU","Romania",0.00306546138028475,0
"RUS","Russian Federation",0.00662515400131752,1
"RWA","Rwanda",0.00380794307748459,1
"KNA","Saint Kitts and Nevis",-0.00238358539178422,0
"LCA","Saint Lucia",-0.00480426746823922,-1
"VCT","Saint Vincent and the Grenadines",-0.00625357681464631,-1
"WSM","Samoa",0.00134990943364227,0
"SMR","San Marino",0.0015941820011519,0
"STP","Sao Tome and Principe",0.000546760933568435,0
"SAU","Saudi Arabia",0.00678806571901143,1
"SEN","Senegal",0.00541260153825226,1
"SRB","Serbia",0.00651357415039552,0
"SYC","Seychelles",0.00602587812564813,1
"SLE","Sierra Leone",0.00335439893092927,1
"SGP","Singapore",0.00240689511873982,1
"SVK","Slovakia",-0.00261754930564522,0
"SVN","Slovenia",-0.00529611890641351,-1
"SLB","Solomon Islands",0.00418019098907313,0
"SOM","Somalia",-0.000184111876491331,0
"ZAF","South Africa",-0.00371064643098509,0
"ESP","Spain",0.001877458907215,0
"LKA","Sri Lanka",0.00495400756984786,1
"SDN","Sudan",-0.00190752688055823,0
