"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",,,,,,,,,,0.465926535,0.465926535,0.444983553,0.431578947,0.416310307,0.404440789,0.404166667,0.374150219,0.363404605,0.349314693,0.321628289,0.320559211,0.312472588,0.293503289,0.269599781
"ALB","Albania",,,,,,,,,,0.504166667,0.500383772,0.483360746,0.463404605,0.454824561,0.480126096,0.49183114,0.492653509,0.488075658,0.482510965,0.463432018,0.482648026,0.469736842,0.473300439,0.480783991
"DZA","Algeria",,,,,,,,,,0.492653509,0.489528509,0.47933114,0.463870614,0.458305921,0.45035636,0.447176535,0.436184211,0.423492325,0.415049342,0.374753289,0.37933114,0.373739035,0.411266447,0.407072368
"AND","",,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",,,,,,,,,,0.375407268,0.365444862,0.338220551,0.32612782,0.311340852,0.320175439,0.318013784,0.318139098,0.330545113,0.331516291,0.278634085,0.270488722,0.284680451,0.295394737,0.298527569
"ATG","Antigua and Barbuda",,,,,,,,,,0.67776864,0.67776864,0.67776864,0.667872807,0.656140351,0.641282895,0.636705044,0.622450658,0.606058114,0.571957237,0.543037281,0.536047149,0.524616228,0.505098684,0.521436404
"ARG","Argentina",,,,,,,,,,0.520093202,0.526836623,0.517297149,0.525575658,0.512554825,0.507620614,0.492598684,0.474671053,0.462280702,0.419298246,0.371600877,0.362171053,0.360115132,0.367023026,0.363377193
"ARM","Armenia",,,,,,,,,,0.610800439,0.608333333,0.605153509,0.604550439,0.602028509,0.587691886,0.60191886,0.60529057,0.604550439,0.627905702,0.62872807,0.648218202,0.650740132,0.64783443,0.649342105
"AUS","Australia",,,,,,,,,,0.800575658,0.801644737,0.797368421,0.798135965,0.792872807,0.782894737,0.787417763,0.787198465,0.778371711,0.773135965,0.761732456,0.752658991,0.750246711,0.740625,0.7453125
"AUT","Austria",,,,,,,,,,0.755866228,0.754139254,0.748711623,0.741447368,0.728974781,0.703563596,0.688212719,0.691776316,0.680921053,0.694572368,0.681716009,0.681222588,0.677275219,0.675191886,0.668612939
"AZE","Azerbaijan",,,,,,,,,,0.515241228,0.51310307,0.505098684,0.500712719,0.499945175,0.577604167,0.576781798,0.593037281,0.575383772,0.569270833,0.579934211,0.60252193,0.60252193,0.56875,0.571683114
"BHS","Bahamas, The",,,,,,,,,,0.641913377,0.641913377,0.641913377,0.641913377,0.641913377,0.633442982,0.61995614,0.610389254,0.593612939,0.570970395,0.540570175,0.538678728,0.533525219,0.516721491,0.518283991
"BHR","Bahrain",,,,,,,,,,0.724177632,0.724177632,0.724177632,0.724177632,0.724177632,0.720559211,0.705098684,0.701096491,0.694517544,0.691474781,0.672889254,0.676343202,0.669928728,0.673245614,0.670093202
"BGD","Bangladesh",,,,,,,,,,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.298876096,0.294682018,0.299561404,0.297807018,0.296354167
"BRB","Barbados",,,,,,,,,,0.599150219,0.599150219,0.599150219,0.599150219,0.599150219,0.599150219,0.599150219,0.599150219,0.599150219,0.586513158,0.559621711,0.554139254,0.548601974,0.54651864,0.536485746
"BLR","Belarus",,,,,,,,,,0.421957237,0.417680921,0.391748904,0.38064693,0.381743421,0.439254386,0.487390351,0.499671053,0.523876096,0.525466009,0.53245614,0.551535088,0.557483553,0.621217105,0.610882675
"BEL","Belgium",,,,,,,,,,0.67091557,0.681277412,0.672039474,0.667132675,0.669901316,0.659457237,0.65589364,0.647149123,0.642324561,0.635663377,0.61370614,0.609292763,0.605948465,0.603289474,0.593530702
"BLZ","Belize",,,,,,,,,,0.577576754,0.577576754,0.577576754,0.566145833,0.548930921,0.536787281,0.520723684,0.511458333,0.504523026,0.491748904,0.463514254,0.458799342,0.45216557,0.456524123,0.447258772
"BEN","Benin",,,,,,,,,,0.438020833,0.430455044,0.4015625,0.393338816,0.37439693,0.337472588,0.330235746,0.337582237,0.327576754,0.334402412,0.303426535,0.338596491,0.339007675,0.364857456,0.384841009
"BTN","Bhutan",,,,,,,,,,0.591948622,0.584711779,0.566290727,0.61156015,0.612562657,0.603258145,0.590726817,0.583239348,0.573903509,0.565820802,0.543389724,0.544642857,0.546961153,0.543295739,0.543796992
"BOL","Bolivia",,,,,,,,,,0.528042763,0.520641447,0.505317982,0.488815789,0.467598684,0.466310307,0.460389254,0.459237939,0.448327851,0.439144737,0.390350877,0.384402412,0.377220395,0.378700658,0.379002193
"BIH","Bosnia and Herzegovina",,,,,,,,,,0.470367325,0.475137061,0.447450658,0.432593202,0.423108553,0.414364035,0.428563596,0.449972588,0.447258772,0.445175439,0.417023026,0.406825658,0.402412281,0.407017544,0.412801535
"BWA","Botswana",,,,,,,,,,0.581222588,0.57439693,0.555701754,0.541940789,0.528015351,0.526946272,0.525274123,0.52151864,0.517461623,0.506140351,0.511567982,0.505455044,0.517214912,0.511513158,0.504166667
"BRA","Brazil",,,,,,,,,,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.412527412,0.414528509,0.407593202,0.394736842,0.389775219
"BRN","Brunei Darussalam",,,,,,,,,,0.631167763,0.631167763,0.631167763,0.631167763,0.621929825,0.617982456,0.616968202,0.615158991,0.62247807,0.618612939,0.596354167,0.589610746,0.633031798,0.635005482,0.639501096
"BGR","Bulgaria",,,,,,,,,,0.586321272,0.581304825,0.5703125,0.565158991,0.570038377,0.577055921,0.582648026,0.591502193,0.585608553,0.581990132,0.560060307,0.554961623,0.551315789,0.54122807,0.535498904
"BFA","Burkina Faso",,,,,,,,,,0.387664474,0.380921053,0.351398026,0.356551535,0.352658991,0.378837719,0.400849781,0.401425439,0.392982456,0.376288377,0.341502193,0.336677632,0.333963816,0.335252193,0.333744518
"BDI","Burundi",,,,,,,,,,0.417489035,0.410416667,0.393503289,0.380263158,0.371792763,0.352028509,0.343503289,0.332976974,0.327220395,0.361759868,0.382894737,0.387637061,0.383607456,0.384594298,0.379166667
"KHM","Cambodia",,,,,,,,,,0.500137061,0.497752193,0.477796053,0.455783991,0.441968202,0.43714364,0.432319079,0.422861842,0.414254386,0.37872807,0.341995614,0.336239035,0.344928728,0.339610746,0.334621711
"CMR","Cameroon",,,,,,,,,,0.455180921,0.445230263,0.415378289,0.394407895,0.381277412,0.361321272,0.343201754,0.362225877,0.354989035,0.338404605,0.298108553,0.286732456,0.280619518,0.274671053,0.275054825
"CAN","Canada",,,,,,,,,,0.754879386,0.754961623,0.75660636,0.75191886,0.744407895,0.737033991,0.733470395,0.747149123,0.736376096,0.730098684,0.711677632,0.692598684,0.687088816,0.681578947,0.671600877
"CPV","Cabo Verde",,,,,,,,,,0.539348371,0.539348371,0.539348371,0.522149123,0.512343358,0.503101504,0.516760652,0.551221805,0.557988722,0.549498747,0.55839599,0.548652882,0.548339599,0.541572682,0.534304511
"CAF","Central African Republic",,,,,,,,,,0.332072368,0.321546053,0.293256579,0.2765625,0.257894737,0.243558114,0.234512061,0.227275219,0.240104167,0.213349781,0.162911184,0.153289474,0.150849781,0.146710526,0.144819079
"TCD","Chad",,,,,,,,,,0.359950658,0.348930921,0.319188596,0.306441886,0.289830044,0.281359649,0.271244518,0.265158991,0.257346491,0.234429825,0.188404605,0.1859375,0.184484649,0.182648026,0.178426535
"CHL","Chile",,,,,,,,,,0.689226974,0.684457237,0.670148026,0.677384868,0.663788377,0.651069079,0.636951754,0.643804825,0.664747807,0.657976974,0.639336623,0.634594298,0.632236842,0.628591009,0.633580044
"CHN","China",,,,,,,,,,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.449369518,0.472587719,0.465871711,0.470422149,0.479111842
"COL","Colombia",,,,,,,,,,0.511101974,0.511595395,0.496436404,0.479742325,0.489364035,0.522505482,0.550109649,0.55276864,0.547423246,0.526754386,0.514692982,0.50433114,0.491008772,0.487582237,0.482236842
"COM","Comoros",,,,,,,,,,0.558991228,0.558991228,0.558991228,0.541917293,0.520426065,0.507236842,0.496052632,0.493483709,0.477694236,0.47481203,0.442982456,0.432675439,0.42593985,0.423182957,0.420206767
"COG","Congo, Rep.",,,,,,,,,,0.39879386,0.388596491,0.364254386,0.347395833,0.332785088,0.324616228,0.317516447,0.304440789,0.284237939,0.271436404,0.235115132,0.229660088,0.222286184,0.216173246,0.21814693
"COD","Congo, Dem. Rep.",,,,,,,,,,0.397744361,0.387406015,0.356109023,0.336528822,0.320802005,0.315413534,0.30783208,0.339411028,0.330075188,0.315162907,0.257675439,0.279323308,0.29962406,0.29047619,0.300783208
"CRI","Costa Rica",,,,,,,,,,0.549122807,0.54122807,0.527055921,0.50877193,0.515762061,0.51466557,0.512746711,0.509210526,0.517214912,0.529029605,0.532730263,0.542406798,0.550794956,0.549150219,0.55372807
"CIV","C�te d'Ivoire",,,,,,,,,,0.379577851,0.376041667,0.342571272,0.362006579,0.346436404,0.332565789,0.32066886,0.315213816,0.309895833,0.297642544,0.309183114,0.340871711,0.342982456,0.337061404,0.346326754
"HRV","Croatia",,,,,,,,,,0.603344298,0.600548246,0.585115132,0.579961623,0.575849781,0.568229167,0.562774123,0.557428728,0.548135965,0.532922149,0.512280702,0.530235746,0.527083333,0.526123904,0.521820175
"CUB","",,,,,,,,,,,,,,,,,,,,,,,,
"CYP","Cyprus",,,,,,,,,,0.650685307,0.650685307,0.650685307,0.650685307,0.650685307,0.650685307,0.643832237,0.637993421,0.628015351,0.630619518,0.606414474,0.597532895,0.601014254,0.60660636,0.60433114
"CZE","Czech Republic",,,,,,,,,,0.584895833,0.577741228,0.569243421,0.563185307,0.548656798,0.527576754,0.528097588,0.55625,0.558580044,0.563788377,0.557099781,0.5640625,0.564692982,0.566310307,0.568503289
"DNK","Denmark",,,,,,,,,,0.841063596,0.840570175,0.844051535,0.8421875,0.838294956,0.830537281,0.823026316,0.837719298,0.846107456,0.848903509,0.825191886,0.828453947,0.830975877,0.831661184,0.826288377
"DJI","Djibouti",,,,,,,,,,0.511677632,0.511677632,0.511677632,0.496326754,0.492900219,0.495093202,0.481469298,0.465350877,0.458004386,0.443338816,0.447752193,0.460718202,0.459594298,0.486677632,0.487609649
"DMA","Dominica",,,,,,,,,,0.630592105,0.630592105,0.630592105,0.614281798,0.609676535,0.60529057,0.593256579,0.587061404,0.574314693,0.565350877,0.537911184,0.53341557,0.527905702,0.523766447,0.522258772
"DOM","Dominican Republic",,,,,,,,,,0.527220395,0.520230263,0.499013158,0.493092105,0.511129386,0.548355263,0.537116228,0.516337719,0.507593202,0.482949561,0.452439693,0.453700658,0.449671053,0.43401864,0.423492325
"ECU","Ecuador",,,,,,,,,,0.530838816,0.524177632,0.517269737,0.511430921,0.496710526,0.499095395,0.489775219,0.489857456,0.481387061,0.453536184,0.42464364,0.421244518,0.43064693,0.42595943,0.423410088
"EGY","Egypt, Arab Rep.",,,,,,,,,,0.4203125,0.411266447,0.401754386,0.398574561,0.441008772,0.450712719,0.464254386,0.475712719,0.47223136,0.460032895,0.433662281,0.424725877,0.418558114,0.417626096,0.406661184
"SLV","El Salvador",,,,,,,,,,0.560663377,0.552275219,0.54879386,0.528700658,0.534347588,0.547039474,0.543640351,0.522532895,0.510882675,0.491337719,0.458031798,0.451069079,0.448492325,0.448958333,0.459758772
"GNQ","Equatorial Guinea",,,,,,,,,,0.528884712,0.528884712,0.528884712,0.513565163,0.494893484,0.486873434,0.477756892,0.460745614,0.452506266,0.444235589,0.407080201,0.395300752,0.385839599,0.360870927,0.361779449
"ERI","Eritrea",,,,,,,,,,0.468092105,0.468092105,0.444298246,0.428070175,0.409795322,0.404385965,0.398318713,0.39495614,0.379751462,0.365533626,0.328143275,0.325073099,0.319115497,0.315204678,0.31122076
"EST","Estonia",,,,,,,,,,0.789007675,0.787116228,0.794216009,0.789199561,0.801123904,0.793311404,0.792077851,0.787417763,0.776480263,0.769270833,0.751260965,0.759786184,0.761951754,0.761787281,0.759237939
"ETH","Ethiopia",,,,,,,,,,0.534566886,0.542708333,0.526151316,0.519572368,0.505783991,0.500548246,0.504577851,0.505592105,0.480427632,0.452439693,0.401535088,0.398739035,0.390241228,0.383031798,0.402083333
"FJI","Fiji",,,,,,,,,,0.647258772,0.642406798,0.665926535,0.652220395,0.637993421,0.620641447,0.606085526,0.605592105,0.589775219,0.565844298,0.535087719,0.529523026,0.524205044,0.519243421,0.515734649
"FIN","Finland",,,,,,,,,,0.813788377,0.821107456,0.825054825,0.817269737,0.814912281,0.803207237,0.801480263,0.80372807,0.816694079,0.812609649,0.794051535,0.761924342,0.762061404,0.759868421,0.75348136
"FRA","France",,,,,,,,,,0.669161184,0.693338816,0.687390351,0.70529057,0.701069079,0.706716009,0.701644737,0.702028509,0.691529605,0.675027412,0.654906798,0.664747807,0.662445175,0.658086623,0.651726974
"GAB","Gabon",,,,,,,,,,0.453673246,0.453673246,0.453673246,0.435827851,0.412582237,0.392763158,0.396984649,0.386430921,0.378070175,0.353042763,0.330126096,0.318311404,0.306935307,0.30120614,0.301041667
"GMB","Gambia, The",,,,,,,,,,0.510992325,0.510992325,0.510992325,0.495860746,0.475219298,0.46683114,0.464172149,0.461430921,0.449588816,0.438267544,0.404139254,0.407949561,0.406716009,0.400164474,0.394819079
"GEO","Georgia",,,,,,,,,,0.529660088,0.529660088,0.546600877,0.656195175,0.673848684,0.695148026,0.748410088,0.75276864,0.770148026,0.781030702,0.781167763,0.776480263,0.777275219,0.786321272,0.79002193
"DEU","Germany",,,,,,,,,,0.801178728,0.799616228,0.798410088,0.795778509,0.779029605,0.762033991,0.751644737,0.746408991,0.736732456,0.732839912,0.71441886,0.692927632,0.692132675,0.688267544,0.68089364
"GHA","Ghana",,,,,,,,,,0.537362939,0.533908991,0.520751096,0.518338816,0.530838816,0.531085526,0.522615132,0.526809211,0.516721491,0.509046053,0.446710526,0.449479167,0.44591557,0.441776316,0.436650219
"GRC","Greece",,,,,,,,,,0.61370614,0.60564693,0.612033991,0.600657895,0.584758772,0.595531798,0.581880482,0.556990132,0.542269737,0.540844298,0.541091009,0.553179825,0.546765351,0.543475877,0.539967105
"GRD","Grenada",,,,,,,,,,0.592825815,0.592825815,0.592825815,0.575469925,0.559085213,0.545457393,0.540632832,0.559586466,0.542512531,0.53358396,0.49981203,0.504793233,0.501441103,0.497775689,0.489630326
"GTM","Guatemala",,,,,,,,,,0.518558114,0.510663377,0.488294956,0.49314693,0.485745614,0.475301535,0.485142544,0.479906798,0.467708333,0.46310307,0.469654605,0.472121711,0.470476974,0.461239035,0.447423246
"GIN","Guinea",,,,,,,,,,0.460361842,0.455592105,0.43341557,0.411513158,0.406578947,0.39314693,0.383086623,0.37464364,0.366474781,0.380701754,0.363130482,0.367708333,0.375027412,0.378453947,0.379057018
"GNB","Guinea-Bissau",,,,,,,,,,0.390350877,0.390350877,0.390350877,0.381203008,0.363596491,0.351378446,0.345927318,0.343107769,0.371585213,0.353822055,0.325407268,0.316572682,0.326033835,0.331704261,0.326284461
"GUY","Guyana",,,,,,,,,,0.552823465,0.552823465,0.536019737,0.501398026,0.491200658,0.474616228,0.480509868,0.477823465,0.460169956,0.450520833,0.426754386,0.416803728,0.421491228,0.416282895,0.413294956
"HTI","Haiti",,,,,,,,,,0.507926065,0.497963659,0.472149123,0.458677945,0.450657895,0.442982456,0.438126566,0.434304511,0.424185464,0.408834586,0.357894737,0.35858396,0.353414787,0.348590226,0.340977444
"HND","Honduras",,,,,,,,,,0.522094298,0.514775219,0.495367325,0.483086623,0.493475877,0.49808114,0.489802632,0.458744518,0.440076754,0.438514254,0.398739035,0.38689693,0.390762061,0.389035088,0.37691886
"HUN","Hungary",,,,,,,,,,0.631085526,0.627549342,0.619024123,0.607922149,0.607675439,0.635910088,0.618777412,0.630975877,0.623355263,0.608908991,0.57535636,0.565899123,0.549177632,0.544435307,0.542023026
"ISL","Iceland",,,,,,,,,,0.836156798,0.836156798,0.840487939,0.848163377,0.842571272,0.841639254,0.821765351,0.823163377,0.8140625,0.811650219,0.809073465,0.790899123,0.788404605,0.786101974,0.777796053
"IND","India",,,,,,,,,,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.294791667,0.295422149,0.33870614,0.362691886,0.386129386
"IDN","Indonesia",,,,,,,,,,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.436129386,0.43785636,0.443037281,0.477905702,0.501096491
"IRN","Iran, Islamic Rep.",,,,,,,,,,0.533525219,0.527933114,0.518640351,0.502658991,0.488048246,0.47908443,0.509813596,0.50901864,0.494024123,0.481633772,0.454248904,0.456907895,0.471381579,0.467269737,0.443640351
"IRQ","Iraq",,,,,,,,,,0.57089599,0.57089599,0.551096491,0.525657895,0.505388471,0.484617794,0.489786967,0.477286967,0.463095238,0.457236842,0.438283208,0.414411028,0.404918546,0.434492481,0.433239348
"IRL","Ireland",,,,,,,,,,0.746683114,0.745696272,0.742077851,0.740460526,0.732072368,0.725575658,0.717571272,0.707483553,0.681578947,0.69098136,0.676315789,0.698930921,0.696134868,0.697450658,0.694161184
"ISR","Israel",,,,,,,,,,0.66345943,0.658525219,0.645339912,0.638020833,0.629577851,0.620531798,0.608223684,0.604632675,0.595476974,0.589336623,0.572450658,0.562746711,0.554358553,0.55877193,0.553837719
"ITA","Italy",,,,,,,,,,0.609429825,0.615597588,0.603289474,0.593311404,0.576123904,0.571080044,0.55504386,0.550466009,0.53125,0.522395833,0.522889254,0.533689693,0.526946272,0.514884868,0.535087719
