"country","iso3","income","region","pop_dis","rain_exp","pov_1016","SL.TLF.CACT.FE.ZS","HD.HCI.OVRL","SI.POV.GINI","SE.SEC.ENRR","SH.IMM.IDPT","account.t.d.7","LGBT_acc","wbl","ref_idp","EN.ATM.PM25.MC.M3","EG.FEC.RNEW.ZS","wat_qua","WWT.new","waste_rate","waste_managed","BHV.new","FSH.new","EN.ATM.CO2E.PC","forest_loss","agri_value","agri_land","gdp_ghg","gov_effect","cont_corr","lpi_score","water_efficiency_GDP","SG.GEN.PARL.ZS","SH.MED.PHYS.ZS","SH.UHC.SRVS.CV.XD","acc_sani_SDG","acc_water_SDG","rai","rule_law","IT.CEL.SETS.P2","IT.NET.USER.ZS","rapid_trans","displaced","wat_stress_SDG","glob_hunger_index","terror","pop_slums_SDG","heal_01_NDG","habi_01_NDG","habi_02_NDG","infr_02_NDG","food_03_NDG","infr_03_NDG","heal_03_NDG","SH.STA.AIRP.P5","SH.STA.WASH.P5","fao_withdraw_pc","ecos_04_NDG","chloroph_SDG","EG.ELC.ACCS.ZS","reg_qua","ghg_pc","pop_epid","patents","IS.SHP.GCNW.XQ","dai","EG.EGY.PRIM.PP.KD","pop_dis_per","rain_exp_per","pov_1016_per","SL.TLF.CACT.FE.ZS_per","HD.HCI.OVRL_per","SI.POV.GINI_per","SE.SEC.ENRR_per","SH.IMM.IDPT_per","account.t.d.7_per","LGBT_acc_per","wbl_per","ref_idp_per","EN.ATM.PM25.MC.M3_per","EG.FEC.RNEW.ZS_per","wat_qua_per","WWT.new_per","waste_rate_per","waste_managed_per","BHV.new_per","FSH.new_per","EN.ATM.CO2E.PC_per","forest_loss_per","agri_value_per","agri_land_per","gdp_ghg_per","gov_effect_per","cont_corr_per","lpi_score_per","water_efficiency_GDP_per","SG.GEN.PARL.ZS_per","SH.MED.PHYS.ZS_per","SH.UHC.SRVS.CV.XD_per","acc_sani_SDG_per","acc_water_SDG_per","rai_per","rule_law_per","IT.CEL.SETS.P2_per","IT.NET.USER.ZS_per","rapid_trans_per","displaced_per","wat_stress_SDG_per","glob_hunger_index_per","terror_per","pop_slums_SDG_per","heal_01_NDG_per","habi_01_NDG_per","habi_02_NDG_per","infr_02_NDG_per","food_03_NDG_per","infr_03_NDG_per","heal_03_NDG_per","SH.STA.AIRP.P5_per","SH.STA.WASH.P5_per","fao_withdraw_pc_per","ecos_04_NDG_per","chloroph_SDG_per","EG.ELC.ACCS.ZS_per","reg_qua_per","ghg_pc_per","pop_epid_per","patents_per","IS.SHP.GCNW.XQ_per","dai_per","EG.EGY.PRIM.PP.KD_per","Resilience_v2","Inclusion_v2","Sustainability_v2","Efficiency_v2"
"Afghanistan","AFG","Low income","South Asia",3.41257722,21.218522,NA,21.3600006103516,0.389,NA,55.4252090454102,66,13.8025026321411,2.7,38.1,9.3,56.9108083545081,18.4234771693218,-1.3888764,NA,0.456211043505267,NA,57.7,NA,0.245101422350223,0.883512912659569,1843.043,100.093640721973,1100872.50965136,-1.45728528499603,-1.4968341588974,2.04,0.926227767178944,27.0161290322581,0.2782,37,43.41761,67.06462,20.3100141004714,-1.66802096366882,59.3560197,NA,0,355.879107245557,54.8,33.8,42.2578081444791,70.7,1.135,44.75922239,0.040636766,NA,22.4974273134,NA,22.99570451,211.1,13.9,561.2970182,-0.3,NA,98.7132034301758,-1.13019120693207,135.394477571683,45,NA,NA,0.343214273452759,2.45770500221765,0.153333333333333,0.255172413793103,NA,0.0584415584415584,0.158273381294964,NA,0.21259842519685,0.0849673202614379,0.0507246376811594,0.087248322147651,0.0463576158940397,0.04,0.0844155844155844,0.444444444444444,0.503401360544218,NA,0.781818181818182,NA,0.623287671232877,NA,0.89261744966443,0.917241379310345,0.0927835051546392,0.185185185185185,0.482014388489209,0.0714285714285714,0.0454545454545455,0.00671140939597315,0.00680272108843537,0.592105263157895,0.232876712328767,0.0333333333333333,0.198757763975155,0.159509202453988,0.137404580152672,0.051948051948052,0.079136690647482,NA,0,0.148936170212766,0.19205298013245,0.0666666666666667,0.0256410256410257,0.0754716981132075,0.0909090909090909,0.837662337662338,0.681818181818182,NA,0.0821917808219178,NA,0.160583941605839,0.0704225352112676,0.28169014084507,0.302631578947368,0.395973154362416,NA,0.374233128834356,0.11038961038961,0.00666666666666671,0.130841121495327,NA,NA,0.25,0.920529801324503,0.223868389609572,0.159568180916076,0.442050845621906,0.177106498500477
"Albania","ALB","Upper middle income","Europe & Central Asia",1.8993705,21.529306,1.1,50.5800018310547,0.621,33.2,95.0865936279297,99,22.7510280609131,3.5,91.3,2.93524101508044,18.2006025215914,38.6152104692153,-1.5675865,2.7,1.11451025451352,55.3323968,39.6,8.9,1.57716262398295,6.01922023071652,5507.84,1254.4797884243,1384462.00662959,0.114787988364697,-0.521921396255493,2.62,9.17008976678518,29.5081967213115,1.2164,59,97.71837,91.03923,66.699536748571,-0.392333894968033,91.29301538,69.64285467,NA,307.083835547765,7.1,7,0.00324290810351036,NA,1.035,51.84754073,0.04800901,0.029868668,13.326681518,13.7979708979656,0.62192586,68,0.2,492.273511,-1.05,1.5,100,0.26844123005867,20.2105442470678,0.37035,0.633435215223338,3.5837128647,0.60790354013443,2.88661148238797,0.266666666666667,0.23448275862069,0.590551181102362,0.376623376623377,0.62589928057554,0.641509433962264,0.519685039370079,0.888888888888889,0.195652173913043,0.375838926174497,0.768211920529801,0.746666666666667,0.62987012987013,0.647058823529412,0.469387755102041,0.233644859813084,0.345454545454545,0.401639344262295,0.0547945205479452,0.225490196078431,0.664429530201342,0.551724137931034,0.360824742268041,0.740740740740741,0.58273381294964,0.597402597402597,0.415584415584416,0.375838926174497,0.27891156462585,0.684210526315789,0.417808219178082,0.32,0.670807453416149,0.343558282208589,0.770992366412214,0.448051948051948,0.23021582733813,0.253731343283582,NA,0.177304964539007,0.589403973509934,0.752380952380952,0.788461538461538,NA,0.772727272727273,0.603896103896104,0.577922077922078,0.15929203539823,0.424657534246575,0.579365079365079,0.598540145985401,0.485915492957746,0.774647887323944,0.335526315789474,0.610738255033557,0.836363636363636,0.417177914110429,0.623376623376623,0.14,0.757009345794392,0.166666666666667,0.0517241379310345,0.594594594594595,0.874172185430464,0.513327911246133,0.558517089391856,0.462917839391163,0.439638008427922
"Algeria","DZA","Lower middle income","Middle East & North Africa",0.097606435,3.658801,0.4,17.2800006866455,0.523,NA,NA,91,34.9708023071289,4.1,57.5,7.1,38.8840106983002,NA,-3.0123152,33.1,0.856319190376688,41.9305521,75.4,8.1,NA,12.934943410851,17908.57,225.664069557594,1184449.46879978,-0.443924605846405,-0.630162417888641,2.56,16.2648791780268,25.7575757575758,1.7879,78,87.58657,93.55589,72.5879450037797,-0.77523547410965,109.3560773,NA,14.6,15.0587190905016,137.9,10.3,0.865118194212112,NA,1.08,50.81951384,-0.074860574,0.000326076,19.785342886,-177.124357913786,0.03163415,NA,NA,252.7713215,-1.9,0.895,100,-1.26253962516785,9.08901637613233,NA,1.71083867536421,12.8111044479,0.431103348731995,4.13270236532592,0.633333333333333,0.882758620689655,0.732283464566929,0.025974025974026,0.388489208633094,NA,NA,0.411764705882353,0.376811594202899,0.476510067114094,0.165562913907285,0.246666666666667,0.266233766233766,NA,0.306122448979592,0.588785046728972,0.503030303030303,0.344262295081967,0.938356164383562,0.166666666666667,NA,0.220689655172414,0.639175257731959,0.277777777777778,0.532374100719424,0.402597402597403,0.337662337662338,0.322147651006711,0.414965986394558,0.539473684210526,0.479452054794521,0.78,0.434782608695652,0.423312883435583,0.824427480916031,0.25974025974026,0.424460431654676,NA,0.765151515151515,0.702127659574468,0.0529801324503312,0.619047619047619,0.16025641025641,NA,0.383116883116883,0.642857142857143,0.987012987012987,0.946902654867257,0.13013698630137,0.865079365079365,0.759124087591241,NA,NA,0.565789473684211,0.751677852348993,0.927272727272727,0.417177914110429,0.0974025974025974,0.313333333333333,NA,0.233333333333333,0.301724137931034,0.344594594594595,0.56953642384106,0.58887042406947,0.445945515593969,0.491018311076376,0.394842920502616
"Andorra","AND","High income","Europe & Central Asia",NA,NA,NA,NA,NA,NA,NA,99,NA,4.9,NA,NA,10.3076213949548,19.7478086257358,NA,NA,1.46530451958526,NA,NA,NA,6.07237020841688,0.46676606679436,NA,0,NA,NA,NA,NA,NA,46.4285714285714,3.3333,NA,100,100,NA,NA,113.9573773,NA,NA,NA,NA,NA,0,NA,1.03,53.21349776,-0.003473633,NA,23.271109232,NA,0,NA,NA,NA,NA,NA,100,NA,NA,NA,16.8646308480671,NA,0.64038348197937,NA,NA,NA,NA,NA,NA,NA,NA,0.888888888888889,NA,0.604026845637584,NA,NA,0.88961038961039,0.450980392156863,NA,NA,0.175757575757576,NA,NA,NA,0.281879194630873,0.96551724137931,NA,0,NA,NA,NA,NA,NA,0.953947368421053,0.787671232876712,NA,0.919254658385093,0.815950920245399,NA,NA,0.489208633093525,NA,NA,NA,NA,NA,1,NA,0.967532467532468,0.564935064935065,0.88961038961039,NA,0.0684931506849316,NA,1,NA,NA,NA,NA,NA,0.417177914110429,NA,NA,NA,0.766666666666667,NA,0.662162162162162,NA,0.754034615091367,0.766541099281408,0.552748958707002,0.479509365480589
"Angola","AGO","Lower middle income","Sub-Saharan Africa",0.886145433,4.50377,NA,76.129997253418,0.361,51.3,50.6714782714844,63,NA,3.7,73.1,6.2,32.3885049076425,49.5682103295777,0.37388033,NA,0.471629213483146,29.2849859,67.2,14.7,1.20286057885999,5.18282054537231,NA,70.8081888688572,3073969.4867955,-1.052086353302,-1.14467918872833,2.18,173.028935015004,30,0.2146,40,49.87698,55.8429,19.5579265878197,-1.04783225059509,46.59863797,NA,0,37.9333716511247,1.9,29.8,0.0700491112415372,48.6,1.08,78.80226483,0.067526587,0.000835543,16.286470318,-540.997471229649,2.63035475,118.5,48.8,23.6712459,0.8,16.37,43.2592582702637,-0.87503856420517,-18.3963584843904,30.4778,0.367561979286607,25.8626087565,0.334767013788223,3.60595906776897,0.38,0.868965517241379,NA,0.941558441558442,0.0647482014388489,0.0566037735849056,0.173228346456693,0.065359477124183,NA,0.442953020134228,0.33112582781457,0.346666666666667,0.344155844155844,0.725490196078431,0.904761904761905,NA,0.739393939393939,0.286885245901639,0.821917808219178,0.745098039215686,0.684563758389262,0.593103448275862,NA,0.135802469135802,0.841726618705036,0.149350649350649,0.136363636363636,0.0402684563758389,0.918367346938776,0.690789473684211,0.198630136986301,0.0933333333333333,0.22360248447205,0.0736196319018405,0.114503816793893,0.162337662337662,0.0287769784172662,NA,0,0.595744680851064,0.860927152317881,0.142857142857143,0.467948717948718,0.292452830188679,0.383116883116883,0.311688311688312,0.357142857142857,0.920353982300885,0.253424657534247,0.992063492063492,0.416058394160584,0.316901408450704,0.0845070422535211,0.940789473684211,0.194630872483222,0.0727272727272728,0.116564417177914,0.175324675324675,0.846666666666667,0.214953271028037,0.125,0.517241379310345,0.222972972972973,0.735099337748344,0.478520501714154,0.266761208010127,0.553439528043823,0.299188013070072
"Argentina","ARG","Upper middle income","Latin America & Caribbean",0.19241266,5.46363,1.11666666666667,50.8199996948242,0.611,42.9,108.733596801758,86,38.061279296875,6.9,76.3,2,13.311833946835,10.040077613914,-2.9442968,5.9,1.17051559741124,87.5920263,58.9,3.2,4.61908548237078,15.1412709903386,NA,328.886718206005,1435679.97410936,0.0259877629578114,-0.0702692717313766,2.93,17.0362272446445,40.8560311284047,3.9901,76,94.25851,99.07837,43.1745611272194,-0.242866560816765,125.842106,NA,6.1,51.887063511656,10.5,5.4,0,14.7,1.075,39.72664959,0.055923267,0.008104465,3.9452077822,13.0293607429001,0.7536654,26.6,0.4,859.8647978,3.25,6.405,100,-0.285696178674698,-3.77030533263571,1.65155,8.51964687395803,31.4812238721,0.685676217079163,4.34010162122093,0.566666666666667,0.841379310344828,0.574803149606299,0.396103896103896,0.58273381294964,0.207547169811321,0.803149606299213,0.274509803921569,0.427536231884058,0.859060402684564,0.43046357615894,0.88,0.792207792207792,0.287581699346405,0.319727891156463,0.317757009345794,0.333333333333333,0.581967213114754,0.684931506849315,0,0.395973154362416,0.158620689655172,NA,0.358024691358025,0.611510791366906,0.558441558441558,0.603896103896104,0.590604026845638,0.435374149659864,0.881578947368421,0.89041095890411,0.68,0.571428571428571,0.650306748466258,0.541984732824427,0.519480519480519,0.633093525179856,NA,0.606060606060606,0.546099290780142,0.496688741721854,0.838095238095238,1,0.773584905660377,0.480519480519481,0.948051948051948,0.5,0.619469026548673,1,0.587301587301587,0.554744525547445,0.753521126760563,0.626760563380282,0.164473684210526,0.087248322147651,0.354545454545454,0.417177914110429,0.428571428571429,0.56,0.626168224299065,0.6,0.568965517241379,0.72972972972973,0.52317880794702,0.704323744027588,0.5736490352261,0.401165590025995,0.554780818269902
"Armenia","ARM","Upper middle income","Europe & Central Asia",0.6527486165,16.221315,1.27142857142857,43.1100006103516,0.572,29.9,86.4723281860352,92,34.4192733764648,2.2,82.5,6.1,32.5281183420597,15.7920038357833,-3.5096718,8.8,0.47631275778205,NA,48,NA,1.75597603116466,0.617995084312321,7206.593,775.789206740816,862000.503707079,-0.024339372292161,-0.349144130945206,2.51,4.02242255765699,23.4848484848485,4.4023,69,93.64231,99.91338,17.7219272218926,-0.15022100508213,122.3487531,NA,11.8,NA,57.8,7.8,0.740944332275377,9.3,1.035,42.45741623,0.041004573,NA,18.652076366,71.3413045219602,4.3040848,54.8,0.2,973.1760251,-1.15,NA,100,0.331385225057602,1.92213243820763,NA,3.88734256931524,NA,0.621723353862762,5.38244293235421,0.44,0.413793103448276,0.559055118110236,0.194805194805195,0.474820143884892,0.820754716981132,0.393700787401575,0.470588235294118,0.347826086956522,0.0335570469798658,0.582781456953642,0.366666666666667,0.337662337662338,0.398692810457516,0.272108843537415,0.392523364485981,0.733333333333333,NA,0.280821917808219,NA,0.624161073825503,0.937931034482759,0.43298969072165,0.58641975308642,0.41726618705036,0.525974025974026,0.506493506493506,0.288590604026846,0.122448979591837,0.493421052631579,0.938356164383562,0.486666666666667,0.546583850931677,0.791411042944785,0.083969465648855,0.545454545454545,0.597122302158273,NA,0.71969696969697,NA,0.178807947019868,0.733333333333333,0.198717948717949,0.820754716981132,0.772727272727273,0.909090909090909,0.668831168831169,NA,0.164383561643836,0.150793650793651,0.37956204379562,0.584507042253521,0.774647887323944,0.111842105263158,0.624161073825503,NA,0.417177914110429,0.636363636363636,0.42,NA,0.425,NA,0.614864864864865,0.364238410596026,0.520703986212814,0.44148659043549,0.499414832635322,0.48449453400564
"Australia","AUS","High income","East Asia & Pacific",0.10056355,6.396991,0.4,60.3800010681152,0.803,NA,132.772888183594,95,99.287841796875,7.3,96.9,1.8,8.55032440147794,9.18050295980786,-1.3273738,92.7,1.57043254258684,99.999999999869,73.4,3.4,15.5392204599852,14.4528571398053,107885,78.1400213817987,2029906.32356061,1.5964949131012,1.80645966529846,3.77,80.2940966384149,30.4635761589404,3.6778,87,99.99115,99.96994,NA,1.71428382396698,110.6208823,NA,8.6,61.1513887093163,6.4,NA,0.0127875000542289,NA,1.025,51.81429511,0.030111865,0.005550106,6.7080547192,-190.555942943803,NA,8.4,0.1,673.3478085,6,1.9275,100,1.90353691577911,-9.64790180919092,0.4182265,118.440989834349,34.3460110811,0.712173700332642,5.03115546358054,0.626666666666667,0.779310344827586,0.732283464566929,0.727272727272727,0.956834532374101,NA,0.952755905511811,0.633986928104575,0.956521739130435,0.879194630872483,0.867549668874172,0.933333333333333,0.928571428571429,0.261437908496732,0.510204081632653,0.906542056074766,0.157575757575758,0.975409836065574,0.910958904109589,0.00980392156862745,0.040268456375839,0.179310344827586,0.979381443298969,0.141975308641975,0.726618705035971,0.909090909090909,0.909090909090909,0.879194630872483,0.789115646258503,0.710526315789474,0.842465753424658,0.973333333333333,0.91304347826087,0.809815950920245,NA,0.909090909090909,0.453237410071942,NA,0.628787878787879,0.49645390070922,0.602649006622517,NA,0.666666666666667,NA,1,0.616883116883117,0.75974025974026,0.699115044247788,0.883561643835616,0.896825396825397,NA,0.971830985915493,1,0.230263157894737,0.0604026845637584,0.781818181818182,0.417177914110429,0.974025974025974,0.646666666666667,0.747663551401869,0.941666666666667,0.620689655172414,0.790540540540541,0.397350993377483,0.73984625783472,0.81883070874678,0.535691523259837,0.736657172001569
"Austria","AUT","High income","Europe & Central Asia",0.0387222555,13.304603,0.485714285714286,55.0499992370605,0.793,30.8,99.9578399658203,85,97.9066009521484,6.8,94.4,4.7,12.4779667308248,34.3949917477854,-4.5195793,94,1.57479896640243,NA,54.7,NA,7.03333570647299,7.43947626150208,33827.95,1728.9463854204,4526025.67301388,1.45334243774414,1.59649229049683,3.99,119.480504314289,39.344262295082,5.1697,79,99.97291,100,91.3706103464919,1.87477016448975,119.7752968,87.75220479,44.9,2.95103536968874,9.6,NA,0.00322818548891057,NA,1.03,41.82337372,0.070619532,NA,7.8568693956,63.3206400015074,0,15.3,0.1,395.9341494,-3,NA,100,1.53204905986786,-12.3069439774525,NA,26.3028734861007,NA,0.862426519393921,3.60837670799345,0.786666666666667,0.524137931034483,0.677165354330709,0.532467532467532,0.920863309352518,0.773584905660377,0.590551181102362,0.254901960784314,0.920289855072464,0.845637583892617,0.834437086092715,0.513333333333333,0.811688311688312,0.61437908496732,0.19047619047619,0.91588785046729,0.151515151515151,NA,0.520547945205479,NA,0.23489932885906,0.468965517241379,0.762886597938144,0.851851851851852,0.942446043165468,0.883116883116883,0.88961038961039,0.953020134228188,0.836734693877551,0.842105263157895,0.965753424657534,0.806666666666667,0.906832298136646,0.815950920245399,0.961832061068702,0.967532467532468,0.546762589928058,0.701492537313433,0.946969696969697,0.858156028368794,0.52317880794702,NA,0.794871794871795,NA,0.967532467532468,0.915584415584416,0.331168831168831,NA,0.842465753424658,0.198412698412698,1,0.859154929577465,1,0.414473684210526,0.865771812080537,NA,0.417177914110429,0.883116883116883,0.72,NA,0.841666666666667,NA,0.986486486486487,0.728476821192053,0.725660734972447,0.725862326592167,0.597519985099132,0.848144716199615
"Azerbaijan","AZE","Upper middle income","Europe & Central Asia",0.0747559,16.753622,NA,63.6599998474121,0.597,NA,94.7754898071289,95,18.1351795196533,1.7,78.8,6.8,19.9286636166698,2.31075768577815,-2.6884947,3.8,0.853044515239988,NA,44.4,NA,3.85534718233965,0.586987799204915,2197.628,636.439614113555,1232535.06645988,-0.100467413663864,-0.828699111938477,2.45,3.1972177906042,17.3553719008264,3.446,65,92.51145,91.38574,27.204837559826,-0.600219309329987,106.9924534,NA,14,2.66012012815506,56.4,7.4,0.344734951882203,NA,1.035,49.18998516,0.052942059,NA,17.00563178,-310.384694389236,0.58981786,63.9,1.1,1298.241195,-1.4,NA,100,-0.300652712583542,-3.45201779717736,NA,1.8375624443807,NA,0.594166278839111,3.73014078315772,0.68,0.379310344827586,NA,0.805194805194805,0.539568345323741,NA,0.511811023622047,0.633986928104575,0.101449275362319,0.00671140939597315,0.47682119205298,0.286666666666667,0.603896103896104,0.111111111111111,0.346938775510204,0.280373831775701,0.509090909090909,NA,0.136986301369863,NA,0.449664429530201,0.944827586206897,0.11340206185567,0.518518518518518,0.561151079136691,0.5,0.25974025974026,0.241610738255034,0.102040816326531,0.289473684210526,0.808219178082192,0.406666666666667,0.527950310559006,0.355828220858896,0.290076335877863,0.337662337662338,0.39568345323741,NA,0.75,0.865248226950355,0.185430463576159,0.742857142857143,0.262820512820513,NA,0.772727272727273,0.681818181818182,0.538961038961039,NA,0.226027397260274,0.952380952380952,0.605839416058394,0.507042253521127,0.492957746478873,0.0394736842105263,0.684563758389262,NA,0.417177914110429,0.415584415584416,0.546666666666667,NA,0.25,NA,0.554054054054054,0.688741721854305,0.59243385602462,0.403527341286178,0.434891781365957,0.40629924687323
