"country","iso3","region","income","SL.TLF.CACT.FE.ZS","SH.H2O.SMDW.ZS","SH.STA.SMSS.ZS","HD.HCI.OVRL","SE.SEC.ENRR","SH.IMM.IDPT","account.t.d.7","LGBT_acc","wbl","conf_gov","trust_ppl","NY.ADJ.SVNG.GN.ZS","EG.FEC.RNEW.ZS","ER.H2O.INTR.PC","wat_qua","agri_value","agri_land","gdp_ghg","cont_corr","gov_effect","reg_qua","lpi_score","WWT.new","waste_managed","BHV.new","FSH.new","sdg9_intuse","water_efficiency_FAO","water_efficiency_GDP","GIB.new","EG.ELC.ACCS.ZS","FX.OWN.TOTL.FE.ZS","gdpgr_1519","SG.GEN.PARL.ZS","per_si_allsi.cov_pop_tot","SE.ADT.LITR.FE.ZS","wom_manage_SDG","gov_spe_edu_SDG","balance_imf","taxrev_imf","SH.MED.PHYS.ZS","SH.UHC.SRVS.CV.XD","acc_sani_SDG","acc_water_SDG","rai","rule_law","IT.CEL.SETS.P2","IT.NET.USER.ZS","rapid_trans","smes_wom","patents","IS.SHP.GCNW.XQ","dai","gci","risk_to_assets","risk_wellbeing","pop_dis","rain_exp","EN.POP.SLUM.UR.ZS","pov_1016","SI.POV.GINI","EN.ATM.PM25.MC.M3","forest_loss","ref_idp","sec_aparat","waste_rate","EN.ATM.CO2E.PC","Tenure.insecurity","u_1519","infl_1519","SH.STA.TRAF.P5","SI.POV.NAHC","EN.ATM.CO2E.PP.GD","hepat_SDG","debt_gdp_IMF","capstock_imf","displaced","wat_stress_SDG","glob_hunger_index","terror","pop_slums_SDG","heal_01_NDG","habi_01_NDG","habi_02_NDG","infr_02_NDG","food_03_NDG","infr_03_NDG","heal_03_NDG","SH.STA.AIRP.P5","SH.STA.WASH.P5","fao_withdraw_pc","ecos_04_NDG","chloroph_SDG","energ_int_ch","you_neet_1317","ghg_pc","pop_epid","EG.EGY.PRIM.PP.KD","SH.STA.MMRT"
"Algeria","DZA","Middle East & North Africa","Lower middle income",0.210526315789474,NA,0,0.3125,NA,0.388888888888889,0.5,0.764705882352941,0.684210526315789,NA,NA,0.916666666666667,NA,0.555555555555556,0.75,0.625,0.263157894736842,0.5,0.388888888888889,0.388888888888889,0.222222222222222,0.277777777777778,0.5,0.368421052631579,0.733333333333333,0.153846153846154,0.222222222222222,0.384615384615385,0.388888888888889,0.333333333333333,0.368421052631579,0.466666666666667,0.444444444444444,0.722222222222222,NA,0.153846153846154,0.1,0.230769230769231,0.333333333333333,1,0.5,0.888888888888889,0.105263157894737,0.263157894736842,0.833333333333333,0.277777777777778,0.352941176470588,NA,0.882352941176471,NA,0.1875,0.222222222222222,0.277777777777778,0.285714285714286,0.3,0.2,0.444444444444444,0.75,NA,0.583333333333333,NA,0.631578947368421,0.0909090909090909,0.352941176470588,0.470588235294118,0.578947368421053,NA,0.857142857142857,0.368421052631579,0.1875,0.263157894736842,NA,NA,0.777777777777778,0.545454545454545,0.3125,0.625,0.315789473684211,0.583333333333333,0.421052631578947,NA,0.277777777777778,0.666666666666667,0.888888888888889,0.888888888888889,0.277777777777778,0.647058823529412,0.588235294117647,NA,NA,0.736842105263158,0.388888888888889,0.777777777777778,0.105263157894737,0.555555555555556,0.222222222222222,NA,0.5,0.105263157894737
"Djibouti","DJI","Middle East & North Africa","Lower middle income",0.842105263157895,NA,0.2,NA,0.0769230769230769,0.222222222222222,NA,0.117647058823529,0.736842105263158,NA,NA,0.583333333333333,1,0.666666666666667,1,NA,0.0526315789473684,0,0.333333333333333,0.222222222222222,0.388888888888889,0.222222222222222,NA,0.0526315789473684,0.4,0,0.333333333333333,NA,0.833333333333333,1,0,NA,1,0.777777777777778,0,NA,NA,0.923076923076923,NA,NA,0.0555555555555556,0.0555555555555556,0.0526315789473684,0.0526315789473684,0.166666666666667,0.222222222222222,0,NA,0,1,NA,0.444444444444444,0.111111111111111,NA,NA,NA,0,0.3125,0,0,0.142857142857143,0.368421052631579,NA,0.411764705882353,0.588235294117647,1,0.944444444444444,NA,0.473684210526316,0.5625,0.157894736842105,0.428571428571429,0.875,0.222222222222222,NA,0,0,1,0.0833333333333334,0.473684210526316,0.0909090909090909,0.222222222222222,0,0,0.444444444444444,0.0555555555555556,NA,0,0.0588235294117647,0,1,0.444444444444444,0,0.789473684210526,0.666666666666667,0.666666666666667,0.142857142857143,0.833333333333333,0
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income",0.368421052631579,NA,0.4,0.125,0.384615384615385,0.5,0.214285714285714,0,0.421052631578947,NA,0,0.25,0.777777777777778,0.0555555555555556,0,0.125,0.947368421052632,0.166666666666667,0.444444444444444,0.333333333333333,0.333333333333333,0.666666666666667,0.583333333333333,0.105263157894737,0.933333333333333,0.230769230769231,0.166666666666667,0.0769230769230769,0,0.533333333333333,0.368421052631579,0.333333333333333,0.833333333333333,0.888888888888889,0.333333333333333,0.0769230769230769,0,0.153846153846154,0.25,0.636363636363636,0.222222222222222,0.277777777777778,0.421052631578947,0.736842105263158,1,0.444444444444444,0.294117647058824,0,0.647058823529412,0.25,0.3125,0.944444444444444,0.388888888888889,0.142857142857143,1,1,0.888888888888889,0.375,0.888888888888889,0.166666666666667,0.714285714285714,0.105263157894737,0.727272727272727,0.470588235294118,0.235294117647059,0.736842105263158,0.722222222222222,0.785714285714286,0.421052631578947,0.0625,0.789473684210526,0.142857142857143,0.75,0.166666666666667,0,1,1,0.473684210526316,0.25,0.578947368421053,1,0.222222222222222,0.944444444444444,0.833333333333333,0.333333333333333,0.388888888888889,0.411764705882353,0.235294117647059,0.117647058823529,0.235294117647059,0.210526315789474,0.222222222222222,0.833333333333333,0.421052631578947,0.444444444444444,0.5,0.714285714285714,0.777777777777778,0.421052631578947
"Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income",0.315789473684211,0.4,NA,0.6875,0.307692307692308,0.833333333333333,0.928571428571429,0.0588235294117647,0.105263157894737,1,0.8,NA,0.388888888888889,1,0.1875,0.375,0.526315789473684,NA,0.277777777777778,0.444444444444444,0.166666666666667,0.444444444444444,0,0.473684210526316,0.333333333333333,0.384615384615385,0.444444444444444,NA,0.0555555555555556,0.866666666666667,0.368421052631579,0.866666666666667,0.277777777777778,0.166666666666667,NA,0.307692307692308,0.8,0.846153846153846,0.583333333333333,0.454545454545455,0.333333333333333,0.555555555555556,0.157894736842105,0.315789473684211,0,0.388888888888889,0.823529411764706,NA,0.764705882352941,NA,0.8125,0.333333333333333,0.333333333333333,0.428571428571429,0,0,0.111111111111111,0.625,NA,0.75,0,0.578947368421053,1,0.588235294117647,0.411764705882353,0.789473684210526,0.277777777777778,0,0.315789473684211,0,0.210526315789474,NA,0.0625,1,0.636363636363636,0.25,0.125,0.736842105263158,0.833333333333333,0.684210526315789,0.545454545454545,0.888888888888889,0.5,0.277777777777778,0.5,0.111111111111111,0.470588235294118,0.647058823529412,0.764705882352941,0.411764705882353,0,0.5,0.166666666666667,0.0526315789473685,0.333333333333333,0.333333333333333,0.857142857142857,0,0.736842105263158
"Iraq","IRQ","Middle East & North Africa","Upper middle income",0.0526315789473684,0.1,0.333333333333333,0.0625,NA,0.222222222222222,0.0714285714285714,0.235294117647059,0.421052631578947,0.25,0.4,0.166666666666667,0.333333333333333,0.944444444444444,0.375,NA,0.210526315789474,0.75,0.166666666666667,0.166666666666667,0.277777777777778,0.0555555555555556,0.416666666666667,0.263157894736842,0.533333333333333,NA,0.277777777777778,0.153846153846154,0.111111111111111,0.2,0.263157894736842,0.2,0.611111111111111,0.833333333333333,0.666666666666667,0.230769230769231,NA,NA,NA,NA,0.277777777777778,0.166666666666667,0.368421052631579,0.421052631578947,0.5,0.166666666666667,0.235294117647059,NA,0,0.625,0.125,0.388888888888889,0.166666666666667,NA,0.1,0.1,0.666666666666667,0.1875,0.333333333333333,0.25,NA,0.157894736842105,0.818181818181818,0.176470588235294,0.176470588235294,0.421052631578947,0.444444444444444,0.428571428571429,0.263157894736842,0.9375,0.105263157894737,NA,0.1875,0.944444444444444,NA,0.875,0.3125,0.842105263157895,0.166666666666667,0.105263157894737,0.272727272727273,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.944444444444444,0.882352941176471,0.470588235294118,0.352941176470588,0.176470588235294,0.0526315789473685,0.277777777777778,0.0555555555555556,0.578947368421053,NA,0,0.285714285714286,0.666666666666667,0.157894736842105
"Israel","ISR","Middle East & North Africa","High income",1,0.8,0.8,1,0.769230769230769,0.722222222222222,0.857142857142857,0.882352941176471,0.947368421052632,NA,NA,0.666666666666667,0.666666666666667,0.388888888888889,0.125,1,0.894736842105263,1,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,1,0.842105263157895,0.133333333333333,1,0.777777777777778,0.846153846153846,0.888888888888889,0.666666666666667,0.368421052631579,0.933333333333333,0.666666666666667,0.944444444444444,NA,NA,1,0.384615384615385,0.666666666666667,0.818181818181818,1,0.944444444444444,0.789473684210526,0.842105263157895,NA,0.944444444444444,0.647058823529412,0.5,0.823529411764706,NA,1,0.666666666666667,0.888888888888889,1,0.9,0.9,0.0555555555555556,0.6875,NA,0.75,0.285714285714286,0.947368421052632,0.363636363636364,NA,NA,0,0.388888888888889,0.928571428571429,0.736842105263158,1,1,NA,0.8125,0.333333333333333,0.363636363636364,0.75,0.0625,0.578947368421053,NA,0.263157894736842,NA,1,0.888888888888889,0.722222222222222,0.388888888888889,0.888888888888889,0.235294117647059,NA,1,0.647058823529412,0.631578947368421,0.666666666666667,0.888888888888889,0.736842105263158,0.888888888888889,0.611111111111111,0.571428571428571,0.722222222222222,1
"Jordan","JOR","Middle East & North Africa","Upper middle income",0.105263157894737,0.6,0.666666666666667,0.5,0.153846153846154,0.555555555555556,0.428571428571429,0.470588235294118,0.368421052631579,0.75,1,0.333333333333333,0.555555555555556,0.222222222222222,0.0625,NA,0.631578947368421,0.416666666666667,0.666666666666667,0.666666666666667,0.722222222222222,0.555555555555556,0.333333333333333,0.421052631578947,0.466666666666667,NA,0.555555555555556,0.692307692307692,0.611111111111111,0.6,0.263157894736842,0.266666666666667,0.388888888888889,0.388888888888889,1,1,NA,NA,NA,NA,0.722222222222222,0.722222222222222,0.526315789473684,0.684210526315789,0.583333333333333,0.722222222222222,0.117647058823529,NA,0,0.75,0.375,0.5,0.444444444444444,0.5,0.7,0.7,0.333333333333333,1,0.777777777777778,0.916666666666667,NA,0.789473684210526,0.909090909090909,0.235294117647059,0.647058823529412,0.631578947368421,0.666666666666667,0.142857142857143,0.105263157894737,0.4375,0.473684210526316,0.714285714285714,0.5,0.0555555555555556,NA,0.8125,0.75,0.631578947368421,0.5,0.736842105263158,0.636363636363636,0.888888888888889,0.833333333333333,0.666666666666667,1,0.333333333333333,0.117647058823529,0.117647058823529,0.705882352941176,0.588235294117647,0.894736842105263,0.388888888888889,NA,0.315789473684211,0.111111111111111,0.555555555555556,NA,0.333333333333333,0.315789473684211
"Kuwait","KWT","Middle East & North Africa","High income",0.789473684210526,0.9,1,0.5625,0.615384615384615,0.388888888888889,0.714285714285714,0.470588235294118,0.157894736842105,NA,NA,0.75,0,0,0.875,0.25,0.842105263157895,NA,0.5,0.611111111111111,0.666666666666667,0.722222222222222,0.75,0.947368421052632,0.6,0.615384615384615,1,NA,0.777777777777778,0.266666666666667,0.368421052631579,0.733333333333333,0.111111111111111,0.222222222222222,NA,0.692307692307692,0.3,NA,1,0,0.888888888888889,0.722222222222222,0.789473684210526,0.842105263157895,NA,0.666666666666667,0.941176470588235,0.9,0,NA,0.4375,0.166666666666667,0.666666666666667,0.642857142857143,NA,NA,1,0.125,NA,NA,NA,0.210526315789474,NA,0.823529411764706,0.823529411764706,0.157894736842105,0.0555555555555556,0.0714285714285714,0.894736842105263,0.25,0.631578947368421,NA,0.125,0.944444444444444,1,0.9375,NA,0,1,0.631578947368421,NA,0.888888888888889,0.333333333333333,0.0555555555555556,0.0555555555555556,0.444444444444444,0.941176470588235,1,0.176470588235294,1,0.526315789473684,0.888888888888889,0.333333333333333,0.684210526315789,NA,0.722222222222222,1,0.222222222222222,0.789473684210526
"Lebanon","LBN","Middle East & North Africa","Upper middle income",0.526315789473684,0,0.0666666666666667,0.375,NA,0.166666666666667,0.357142857142857,0.764705882352941,0.578947368421053,0.5,0.2,0,0.611111111111111,0.833333333333333,0.4375,NA,0.684210526315789,NA,0.222222222222222,0.277777777777778,0.5,0.444444444444444,NA,0.526315789473684,0.0666666666666667,0.461538461538462,0.611111111111111,0.461538461538462,0.444444444444444,0.733333333333333,0.368421052631579,0.533333333333333,0.0555555555555556,0.111111111111111,NA,0.538461538461538,NA,0,NA,NA,0.611111111111111,0.611111111111111,0.578947368421053,0.210526315789474,0.916666666666667,0.333333333333333,0.0588235294117647,NA,0,0.5,0.5,0.611111111111111,0.611111111111111,0.0714285714285714,0.4,0.6,0.166666666666667,NA,0.222222222222222,NA,NA,0.894736842105263,0.454545454545455,0.117647058823529,0.294117647058823,0.368421052631579,0.5,0.714285714285714,0.631578947368421,0.3125,0.578947368421053,NA,0.6875,0.777777777777778,NA,0.0625,0.5625,0.789473684210526,0.333333333333333,0.315789473684211,0.181818181818182,0.888888888888889,0.777777777777778,0.444444444444444,0.833333333333333,0.222222222222222,0.0588235294117647,0.294117647058823,0.647058823529412,0.470588235294118,0.684210526315789,0.555555555555556,0.666666666666667,0.157894736842105,NA,0.166666666666667,NA,0.444444444444444,0.526315789473684
"Libya","LBY","Middle East & North Africa","Upper middle income",0.631578947368421,NA,0.133333333333333,NA,NA,0.111111111111111,0.571428571428571,0.647058823529412,0.526315789473684,NA,NA,NA,0.444444444444444,0.444444444444444,0.5625,NA,0.105263157894737,0.25,0.111111111111111,0.0555555555555556,0,0.111111111111111,NA,0.578947368421053,NA,NA,0,0,0.166666666666667,NA,0.105263157894737,0.666666666666667,0.944444444444444,0.5,NA,NA,NA,NA,0,NA,0.666666666666667,0.222222222222222,0.684210526315789,0.473684210526316,0.0833333333333333,0.111111111111111,NA,NA,0,NA,NA,0.277777777777778,NA,NA,NA,NA,0.722222222222222,0.25,NA,NA,NA,0.263157894736842,0.636363636363636,0.294117647058823,0.117647058823529,0.473684210526316,0.333333333333333,0.428571428571429,0.0526315789473685,NA,0.368421052631579,NA,0,0.555555555555556,NA,NA,0.4375,0.157894736842105,NA,0.0526315789473685,NA,0.888888888888889,1,0.944444444444444,0.722222222222222,0.611111111111111,0.529411764705882,0.529411764705882,0.411764705882353,0.588235294117647,0.157894736842105,0.611111111111111,1,0.842105263157895,NA,0.833333333333333,NA,0.388888888888889,0.210526315789474
