Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
Afghanistan,4,Total water withdrawal per capita,4257,2017,561.2970182,E,,0
Albania,8,Total water withdrawal per capita,4257,2017,492.273511,E,,0
Algeria,12,Total water withdrawal per capita,4257,2017,252.7713215,E,,0
Angola,24,Total water withdrawal per capita,4257,2017,23.6712459,E,,0
Antigua and Barbuda,28,Total water withdrawal per capita,4257,2017,120.5122294,E,,0
Argentina,32,Total water withdrawal per capita,4257,2017,859.8647978,E,,0
Armenia,51,Total water withdrawal per capita,4257,2017,973.1760251,E,,0
Australia,36,Total water withdrawal per capita,4257,2017,673.3478085,E,,0
Austria,40,Total water withdrawal per capita,4257,2017,395.9341494,E,,0
Azerbaijan,31,Total water withdrawal per capita,4257,2017,1298.241195,E,,0
Bahrain,48,Total water withdrawal per capita,4257,2017,290.7482618,E,,0
Bangladesh,50,Total water withdrawal per capita,4257,2017,224.6291434,E,,0
Barbados,52,Total water withdrawal per capita,4257,2017,282.9872271,E,,0
Belarus,112,Total water withdrawal per capita,4257,2017,147.8270743,E,,0
Belgium,56,Total water withdrawal per capita,4257,2017,349.7450206,E,,0
Belize,84,Total water withdrawal per capita,4257,2017,268.7821507,E,,0
Benin,204,Total water withdrawal per capita,4257,2017,20.93922631,E,,0
Bhutan,64,Total water withdrawal per capita,4257,2017,453.3486774,E,,0
Bolivia (Plurinational State of),68,Total water withdrawal per capita,4257,2017,186.5475788,E,,0
Botswana,72,Total water withdrawal per capita,4257,2017,87.52516915,E,,0
Brazil,76,Total water withdrawal per capita,4257,2017,316.0265209,E,,0
Brunei Darussalam,96,Total water withdrawal per capita,4257,2017,216.739345,E,,0
Bulgaria,100,Total water withdrawal per capita,4257,2017,796.6975875,E,,0
Burkina Faso,854,Total water withdrawal per capita,4257,2017,42.61918549,E,,0
Burundi,108,Total water withdrawal per capita,4257,2017,25.87046351,E,,0
Cabo Verde,132,Total water withdrawal per capita,4257,2017,50.23274505,E,,0
Cambodia,116,Total water withdrawal per capita,4257,2017,136.4197766,E,,0
Cameroon,120,Total water withdrawal per capita,4257,2017,44.30500553,E,,0
Canada,124,Total water withdrawal per capita,4257,2017,969.0980054,E,,0
