"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan",0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785,0.883307785
"ALB","Albania",0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482,0.421776482
"DZA","Algeria",0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452,0.261704452
"AND","Andorra",6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762,6.968452762
"AGO","Angola",-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681,-0.07307681
"ATG","Antigua and Barbuda",0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952,0.021624952
"ARG","Argentina",0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665,0.286943665
"ARM","Armenia",1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211,1.283341211
"AUS","Australia",0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542,0.225431542
"AUT","Austria",2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904,2.413705904
"AZE","Azerbaijan",0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336,0.376168336
"BHS","Bahamas",0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242,0.065260242
"BHR","Bahrain",1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804,1.750484804
